category_id,category_title,act_title,act_url,pdf_url,saved_path,status
2,Civil Laws,"Foreign Exchange (Temporary Restrictions) Act, 1998",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apqbaA%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratord22e3517bdf1c372e2836d95a87bff15.pdf,pakistan_code_pdfs\administratord22e3517bdf1c372e2836d95a87bff15.pdf,downloaded
2,Civil Laws,"Foreigners Act, 1946",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cJiW-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator8922590399098ddfed00a6db56f2f91b.pdf,pakistan_code_pdfs\administrator8922590399098ddfed00a6db56f2f91b.pdf,downloaded
2,Civil Laws,"General Clauses Act, 1897",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cZ0%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratore8a332cad1093952d0ecb86288b38c75.pdf,pakistan_code_pdfs\administratore8a332cad1093952d0ecb86288b38c75.pdf,downloaded
2,Civil Laws,"Government Tenants (North-West Frontier) Act, 1893",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cJ4%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator79cdef3eaf6234dd90563d22892f579e.pdf,pakistan_code_pdfs\administrator79cdef3eaf6234dd90563d22892f579e.pdf,downloaded
2,Civil Laws,"Import of Goods (Price Equalization Surcharge) Act, 1967",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cJuV-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratorcac99cc58b80266aa469b18e7923cad9.pdf,pakistan_code_pdfs\administratorcac99cc58b80266aa469b18e7923cad9.pdf,downloaded
2,Civil Laws,"Intellectual Property Organization of Pakistan Act, 2012",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apaUY2Fqaps%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator0b76cb2fe668d9adcc52e221e05cf399.pdf,pakistan_code_pdfs\administrator0b76cb2fe668d9adcc52e221e05cf399.pdf,downloaded
2,Civil Laws,Interest Act 1839,https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-ag%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratora79c09f9a3e1f05ca22ec61e7a064c17.pdf,pakistan_code_pdfs\administratora79c09f9a3e1f05ca22ec61e7a064c17.pdf,downloaded
2,Civil Laws,"Islamabad Consumers Protection Act, 1995",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apqVYw%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratorbc4daf1cd281f7808ceb417c316f18ea.pdf,pakistan_code_pdfs\administratorbc4daf1cd281f7808ceb417c316f18ea.pdf,downloaded
2,Civil Laws,"Legal Representatives´ Suits Act, 1855",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cQ%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator3931b25055db9737894956c4b53954c3.pdf,pakistan_code_pdfs\administrator3931b25055db9737894956c4b53954c3.pdf,downloaded
2,Civil Laws,"Limitation (Emergency and War Conditions) Act, 1965",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cJqY-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator9119e6acb1306528caf338e446417494.pdf,pakistan_code_pdfs\administrator9119e6acb1306528caf338e446417494.pdf,downloaded
2,Civil Laws,"Limitation Act, 1908",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apab-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator3294e35255f255ea96b3356091fb4844.pdf,pakistan_code_pdfs\administrator3294e35255f255ea96b3356091fb4844.pdf,downloaded
2,Civil Laws,"Majority Act, 1875",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-bJo%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator48b083e7f2c44e28f6eb0a73477e8297.pdf,pakistan_code_pdfs\administrator48b083e7f2c44e28f6eb0a73477e8297.pdf,downloaded
